#time mag RMS inf sum variance min max
3600 3.067224812 8.051984793 129.9751428 -2.321833518e-08 64.83445911 -61.91987084 129.9751428
7200 6.781389645 13.48110148 189.9411836 -4.645655645e-08 181.7400972 -41.30845419 189.9411836
10800 8.947543665 12.39160112 107.2121158 -6.097756434e-08 153.5517782 -36.16559024 107.2121158
