#time mag RMS inf sum variance min max
3600 5620.117199 5628.789334 5959.847431 5620.117199 97552.04217 3869.832402 5959.847431
7200 5620.117199 5628.792106 5964.438289 5620.117199 97583.2444 3874.201974 5964.438289
10800 5620.117199 5628.800823 5972.437877 5620.117199 97681.37501 3874.275864 5972.437877
