#time mag RMS inf sum variance min max
3600 0.2396120794 0.5405489186 5.942687804 1.216284922e-10 0.2921931334 -2.78327679 5.942687804
7200 0.5196133948 0.9483642059 4.604663808 2.235890427e-10 0.899394667 -4.256879885 4.604663808
10800 0.803737491 1.330933759 5.276857274 3.633016744e-10 1.77138467 -5.276857274 4.99602591
