#time mag RMS inf sum variance min max
3600 0.04907939313 0.1117677913 1.102493514 3.708545399e-11 0.01249203917 -0.5396904926 1.102493514
7200 0.1259376189 0.2420720583 1.102081399 1.03476918e-10 0.05859888139 -1.102081399 0.9295404114
10800 0.2238124168 0.3946627626 1.550427959 2.116411045e-10 0.1557586962 -1.550427959 1.486193015
