#time mag RMS inf sum variance min max
1200 5620.117199 5628.788687 5959.357771 5620.117199 97544.75331 3874.759757 5959.357771
2400 5620.117199 5628.788451 5959.36348 5620.117199 97542.10104 3872.438669 5959.36348
3600 5620.117199 5628.78798 5959.470806 5620.117199 97536.78878 3873.553978 5959.470806
