#time mag RMS inf sum variance min max
1200 7.039329637e-07 3.093562221e-06 3.205259054e-05 -4.888888401e-11 9.57012721e-12 -3.061399548e-05 3.205259054e-05
2400 1.822470695e-06 8.677598901e-06 8.577151038e-05 -1.041341229e-10 7.530072268e-11 -8.577151038e-05 8.220209747e-05
3600 3.005821613e-06 1.226382954e-05 0.0001219017258 -1.518033955e-10 1.50401515e-10 -0.0001219017258 0.0001218274729
