#time mag RMS inf sum variance min max
1200 5620.117199 5628.788919 5959.365588 5620.117199 97547.36978 3874.164894 5959.365588
2400 5620.117199 5628.789289 5959.447545 5620.117199 97551.52916 3869.486413 5959.447545
3600 5620.117199 5628.789764 5959.837768 5620.117199 97556.87882 3869.158973 5959.837768
