#time mag RMS inf sum variance min max
1200 0.196099451 0.2458648803 0.9139923146 -5.798483997e-11 0.06044953935 -0.9139923146 0.43168139
2400 0.4171604824 0.5575570561 2.348195209 -1.320728658e-10 0.3108698708 -2.348195209 1.272334583
3600 0.6373555892 0.8775855887 3.803653596 -2.071104973e-10 0.7701564654 -3.803653596 2.149603793
