#time mag RMS inf sum variance min max
1200 5620.117199 5628.785446 5959.364903 5620.117199 97508.27109 3878.887314 5959.364903
2400 5620.117199 5628.783023 5959.449122 5620.117199 97480.98708 3877.004702 5959.449122
3600 5620.117199 5628.781735 5959.850682 5620.117199 97466.487 3876.762769 5959.850682
